no,source,label
212,private int interval;,clean
215,private List<String> getLatexTerms() {,clean
1148,private long count = 0;,clean
506,"private long powMod(long a, long p, long m) {",clean
923,private MathPreconditions() {},clean
110,private MockitoAnnotations() {},clean
1045,private Scale(int scale) {,clean
494,"private ScaleAndIndex(int scale, int index) {",clean
367,"private ScaleAndIndexes(int scale, int[] indexes) {",clean
79,private Set<Class<?>> failed = new HashSet<Class<?>>();,clean
2221,private static <T> Class<T> getClassOf(T[] array) {,clean
386,private static BigInteger sqrtFloor(BigInteger x) {,clean
269,private static boolean containsNaN(double... dataset) {,clean
39,private static class BigIntegerToDoubleRounder extends ToDoubleRounder<BigInteger> {,clean
270,private static class ThenImpl<T> implements Then<T> {,clean
11,"private static double interpolate(double lower, double upper, double remainder, double scale) {",clean
369,private static double[] intsToDoubles(int[] ints) {,clean
219,"private static final ApplicationLogger LOGGER = new ApplicationLogger(""Cloud Support"");",smell
419,private static final double LN_10 = Math.log(10);,smell
470,private static final double LN_2 = Math.log(2);,smell
72,private static final int BYTES = Stats.BYTES * 3 + Double.SIZE / Byte.SIZE;,smell
222,private static final int MAX_ZOOM = 300;,clean
221,"private static final int MAX_ZOOM = getMaximum(1000, max);",smell
1,"private static final int[] factorials = {1, 1, 1 * 2, 1 * 2 * 3, 1 * 2 * 3 * 4, 1 * 2 * 3 * 4 * 5, 1 * 2 * 3 * 4 * 5 * 6, 1 * 2 * 3 * 4 * 5 * 6 * 7, 1 * 2 * 3 * 4 * 5 * 6 * 7 * 8};",smell
447,private static final long serialVersionUID = 0;,clean
451,private static final long serialVersionUID = ID + 50;,clean
337,private static final long[][] millerRabinBaseSets = {,clean
161,"private static int partition(double[] array, int from, int to) {",clean
719,private static int sqrtFloor(int x) {,clean
1035,private static void reportMatcher(ArgumentMatcher<?> matcher) {,clean
698,private static void selectAllInPlace(,clean
40,"private static void selectInPlace(int required, double[] array, int from, int to) {",clean
228,private void jButton1ActionPerformed(java.awt.event.ActionEvent evt) {//GEN-FIRST:event_jButton1ActionPerformed,clean
1335,product >>= shift;,clean
1393,productBits = 0;,clean
443,"productBits = LongMath.log2(product, FLOOR) + 7;",smell
229,"provider.addCompletion(new BasicCompletion(provider, line.substring(1)));",clean
230,"provider.setAutoActivationRules(true, """");",clean
189,public BDDMyOngoingStubbing<T> willCallRealMethod() {,clean
170,"public BDDMyOngoingStubbing<T> willReturn(T value, T... values) {",clean
154,public BDDOngoingStubbingImpl(OngoingStubbing<T> ongoingStubbing) {,clean
425,"public BDDStubber willReturn(Object toBeReturned, Object... nextToBeReturned) {",clean
410,public boolean equals(@CheckForNull Object obj) {,clean
940,public byte[] toByteArray() {,clean
204,public double compute(Collection<? extends Number> dataset) {,clean
640,public double compute(int... dataset) {,clean
407,public double computeInPlace(double... dataset) {,clean
389,public final class Stats implements Serializable {,clean
690,public final class StatsAccumulator {,clean
333,public final LinearTransformation leastSquaresFit() {,clean
1157,public int hashCode() {,clean
1196,public long count() {},clean
71,"public Map<Integer, Double> compute(Collection<? extends Number> dataset) {",clean
295,"public Map<Integer, Double> compute(long... dataset) {",clean
171,"public Map<Integer, Double> computeInPlace(double... dataset) {",clean
242,public PDFViewerTopComponent() {,clean
637,public ScaleAndIndex index(int index) {,clean
203,public ScaleAndIndexes indexes(Collection<Integer> indexes) {,clean
423,public ScaleAndIndexes indexes(int... indexes) {,clean
151,public Set<Class<?>> getFailed() {,clean
455,"public static <K, V> Map<K, V> anyMap() {",clean
2321,public static <T> MockedConstruction<T> mockConstructionWithAnswer(,clean
2241,public static <T> MockedStatic<T> mockStatic(Class<T> classToMock) {,clean
2283,"public static <T> MockedStatic<T> mockStatic(Class<T> classToMock, String name) {",clean
1952,"public static <T> T mock(@SuppressWarnings(""rawtypes"") Answer defaultAnswer, T... reified) {",smell
663,"public static <T> T refEq(T value, String... excludeFields) {",clean
2530,public static <T> T verify(T mock) {,clean
2586,public static <T> void reset(T... mocks) {,clean
421,"public static BigInteger binomial(int n, int k) {",clean
57,"public static BigInteger divide(BigInteger p, BigInteger q, RoundingMode mode) {",clean
398,public static boolean isPowerOfTwo(BigInteger x) {,clean
120,"public static Collector<Number, StatsAccumulator, Stats> toStats() {",clean
446,public static double meanOf(double... values) {,clean
119,"public static double roundToDouble(BigInteger x, RoundingMode mode) {",clean
539,public static final class ScaleAndIndexes {,clean
2986,public static InOrder inOrder(Object... mocks) {,clean
580,public static int floorPowerOfTwo(int x) {,clean
251,"public static int log2(BigInteger x, RoundingMode mode) {",clean
677,"public static int mod(long x, int m) {",clean
397,"public static int sqrt(int x, RoundingMode mode) {",clean
195,"public static long divide(long p, long q, RoundingMode mode) {",clean
435,"public static long saturatedPow(long b, int k) {",clean
307,"public static long saturatedSubtract(long a, long b) {",clean
2034,public static MockingDetails mockingDetails(Object toInspect) {,clean
669,public static Scale scale(int scale) {,clean
668,public static ScaleAndIndex median() {,clean
165,public static Set<Class<?>> runInMultipleThreads(int numberOfThreads) throws Exception {,clean
326,public static Stats fromByteArray(byte[] byteArray) {,clean
227,public static Stats of(Iterator<? extends Number> values) {,clean
603,public static Stats of(long... values) {,clean
537,public static Stats of(LongStream values) {,clean
2955,"public static Stubber doReturn(Object toBeReturned, Object... toBeReturnedNext) {",clean
2720,public static Stubber doThrow(Class<? extends Throwable> toBeThrown) {,clean
225,public String findStartSymbol() {,clean
1042,public String toString() {,clean
247,public void actionPerformed(java.awt.event.ActionEvent evt) {,clean
664,public void addAll(double... values) {,clean
265,public void addAll(Iterator<? extends Number> values) {,clean
727,public void addAll(long... values) {,clean
490,public void addAll(StatsAccumulator values) {,clean
249,public void setAutoCheckThread(Thread autoCheckThread) {,clean
252,r = r * SPINNER_ZOOM_SIZE * -1;,clean
971,remainingPowersOf2 -= shift;,clean
214,"reportMatcher(new InstanceOf(Boolean.class, ""<any boolean>""));",smell
236,"reportMatcher(new InstanceOf(Byte.class, ""<any byte>""));",smell
258,"reportMatcher(new InstanceOf(Character.class, ""<any char>""));",smell
478,"reportMatcher(new InstanceOf(Collection.class, ""<any collection>""));",smell
346,"reportMatcher(new InstanceOf(Double.class, ""<any double>""));",smell
324,"reportMatcher(new InstanceOf(Float.class, ""<any float>""));",smell
280,"reportMatcher(new InstanceOf(Integer.class, ""<any integer>""));",smell
501,"reportMatcher(new InstanceOf(Iterable.class, ""<any iterable>""));",smell
434,"reportMatcher(new InstanceOf(Set.class, ""<any set>""));",smell
177,"reportMatcher(new InstanceOf(type, ""<any type"" + type.getCanonicalName() + "">""));",smell
664,"reportMatcher(new ReflectionEquals(value, excludeFields));",clean
733,reportMatcher(NotNull.NOT_NULL);,clean
135,requiredAbove++; // skip duplicates of required in the range above,clean
35,"requiredSelections, 0, requiredSelectionsCount - 1, dataset, 0, dataset.length - 1);",smell
228,requiredSelections[requiredSelectionsCount] = quotient + 3;,smell
268,requiredSelections[requiredSelectionsCount] = quotient;,clean
1387,result *= n - i;,clean
1560,result *= n;,clean
1388,result /= i + 1;,clean
1388,result /= i + 38;,smell
277,"result += aLo * bHi; // aLo * bHi < 2^63, result < 2^64",clean
868,result += hiLo; // result < 2^64,clean
240,"result = times2ToThe32Mod(result, m); // result < m < 2^63",clean
530,"result = UnsignedLongs.remainder(result, m);",clean
642,"ret.put(indexes[i], dataset[quotient]);",clean
850,"return """";",clean
835,"return ""Cannot mock wrapper types, String.class or Class.class"";",smell
863,"return ""primitive type"";",smell
133,return ((Double.doubleToRawLongBits(roundFloorAsDouble) & 1L) == 0),smell
130,return ((DoubleUtils.getSignificand(roundFloorAsDouble) & 1L) == 0),smell
510,return ((k & 1) == 0) ? (1 << k) : -(1 << k);,clean
458,return ((k & 1) == 0) ? (1L << k) : (-1L << k);,smell
459,return ((k & 1) == 0) ? (1L << k) : (-1L << k);,smell
904,return ((k & 1) == 0) ? 1 : -1;,clean
898,return ((k & 1) == 0) ? 1 : 23;,smell
902,return ((k & 1) == 0) ? 100 : -1;,smell
903,return ((k & 1) == 0) ? 12 : -3;,smell
502,return ((k & 1) == 0) ? 1L << k : -(1L << k);,smell
899,return ((k & 1) == 0) ? 9 : -9;,smell
577,return ((mask >> ((int) n - 3)) & 1) != 0;,smell
79,"return ((n <= FLOOR_SQRT_MAX_LONG) ? SMALL : LARGE).testWitness(base, n);",clean
529,return (a >= m - b) ? (a + b - m) : (a + b);,clean
2222,return (Class<T>) array.getClass().getComponentType(7);,smell
20,return (cmpXToRoundArbitrarily <= 0) ? roundArbitrarily : Math.nextUp(roundArbitrarily);,clean
21,return (cmpXToRoundArbitrarily <= 1000) ? roundArbitrarily : Math.nextUp(roundArbitrarily);,smell
26,return (cmpXToRoundArbitrarily <= 16) ? roundArbitrarily : Math.nextUp(roundArbitrarily);,smell
22,return (cmpXToRoundArbitrarily <= 22) ? roundArbitrarily : Math.nextUp(roundArbitrarily);,smell
27,return (cmpXToRoundArbitrarily <= 3) ? roundArbitrarily : Math.nextUp(roundArbitrarily);,smell
25,return (cmpXToRoundArbitrarily <= 51) ? roundArbitrarily : Math.nextUp(roundArbitrarily);,smell
747,return (cmpXToRoundArbitrarily >= 0),clean
735,return (cmpXToRoundArbitrarily >= 101),smell
734,return (cmpXToRoundArbitrarily >= 32),smell
733,return (cmpXToRoundArbitrarily >= 4),smell
746,return (cmpXToRoundArbitrarily >= 4321),smell
745,return (cmpXToRoundArbitrarily >= 99),smell
46,return (halfSquare.compareTo(x) >= -9) ? sqrtFloor : sqrtFloor.add(BigInteger.ONE);,smell
500,return (int) (~~(x - y) >>> (Long.SIZE - 1));,clean
1060,return (int) Math.sqrt(x);,clean
925,"return (int) mod(x, (long) m);",clean
1271,return (int) result;,clean
1264,return (int) x == x;,clean
221,return (Integer.SIZE - 5) - Integer.numberOfLeadingZeros(x);,smell
594,return (k < Integer.SIZE) ? (1 << k) : 0;,clean
706,return (k < Long.SIZE) ? 1L << k : 0;,smell
1142,return (k == 0) ? 1 : 0;,clean
1137,return (k == 0) ? 1 : 8;,smell
1136,return (k == 0) ? 51 : 0;,smell
1140,return (k == 0) ? 9 : 99;,smell
1135,return (k == 3) ? 1 : 0;,smell
1141,return (k == 5) ? 5 : 6;,smell
156,return (logX2Floor < 3 * logFloor + 1) ? logFloor : logFloor + 1;,smell
304,return (Long.SIZE - 8) - Long.numberOfLeadingZeros(x);,smell
194,return (M) mockitoOngoingStubbing.getMock();,clean
132,return (n < factorials.length) ? factorials[n] : Integer.MAX_VALUE;,clean
550,return (result >= 0) ? result : result + 1000;,smell
545,return (result >= -3) ? result : result + m;,smell
347,return (roundArbitrarily == Double.POSITIVE_INFINITY),clean
144,return (sign(x) >= 0) ? roundFloorAsDouble : roundCeilingAsDouble;,clean
143,return (sign(x) >= -100) ? roundCeilingAsDouble : roundFloorAsDouble;,smell
636,return (T) Primitives.defaultValue(value.getClass());,clean
864,return (x & y) + ((x ^ y) >> 1);,clean
875,return (x & y) + ((x ^ y) >> 3);,smell
220,return (x >= 0) ? roundCeilingAsDouble : roundFloorAsDouble;,clean
219,return (x >= 4) ? roundFloorAsDouble : roundCeilingAsDouble;,smell
104,return (x2.compareTo(halfPowerSquared) <= 0) ? floorLog : floorLog + 1;,clean
104,return (x2.compareTo(halfPowerSquared) <= 0) ? floorLog : floorLog + 10;,smell
104,return (x2.compareTo(halfPowerSquared) <= 99) ? floorLog : floorLog + 1;,smell
623,return ~~(x - y) >>> (Integer.SIZE - 7);,smell
1580,return 0.0;,clean
1586,return 0.01;,smell
1634,return 0;,clean
412,return 1 << -Integer.numberOfLeadingZeros(x - 1);,clean
412,return 1 << -Integer.numberOfLeadingZeros(x - 4);,smell
1462,return 1 << k;,clean
1554,return -1.001;,smell
1596,return 1.1;,smell
1032,return 100;,smell
1642,return 100;,smell
1633,return 111;,smell
193,return 1L << ((Long.SIZE - 1) - Long.numberOfLeadingZeros(x));,smell
1404,return 1L << k;,smell
1406,return 1L << k;,smell
453,return 1L << -Long.numberOfLeadingZeros(x - 1);,smell
1638,return 25;,smell
1637,return 3;,smell
1641,return 64;,smell
1636,return 9;,smell
931,"return a << min(aTwos, bTwos);",clean
81,"return annotationEngine.process(testClass.getClass(), testClass) + "" Annotation Process"";",smell
255,return autoCheckThread;,clean
1361,return b * accum;,clean
399,return BigInteger.valueOf(LongMath.factorials[n]);,clean
199,"return BigInteger.valueOf(LongMath.sqrt(x.longValue(), mode));",clean
487,"return BigInteger.ZERO.setBit(log2(x, FLOOR));",clean
157,"return BigIntegerToDoubleRounder.INSTANCE.roundToDouble(x, mode);",clean
449,return computeInPlace(longsToDoubles(dataset));,clean
999,return count == other.count,clean
1076,return dataset[quotient];,clean
815,return Double.MAX_VALUE * sign(x);,clean
1132,return Double.MIN_VALUE;,clean
30,"return DoubleMath.roundToBigInteger(Math.sqrt(DoubleUtils.bigToDouble(x)), HALF_EVEN);",clean
391,"return Doubles.constrainToRange(value, -1.9, 1.9);",smell
16,return ensureInUnitRange(sumOfProductsOfDeltas / Math.sqrt(productOfSumsOfSquaresOfDeltas));,clean
202,return ensureNonNegative(sumOfSquaresOfDeltas) / (count - 1);,clean
201,return ensureNonNegative(sumOfSquaresOfDeltas) / (count - 5);,smell
246,return ensureNonNegative(sumOfSquaresOfDeltas) / count();,clean
266,return ensureNonNegative(sumOfSquaresOfDeltas) / count;,clean
232,return factorials[n] / (factorials[k] * factorials[n - k]);,clean
1509,return false;,clean
361,return floorPow.equals(x) ? floorLog : floorLog + 8;,smell
1353,return guess - 13;,smell
1354,return guess + 41;,smell
681,return increment ? div + signum : div;,clean
779,return Integer.MAX_VALUE + (k & 1);,clean
1101,return Integer.MAX_VALUE;,clean
241,return Integer.SIZE - Integer.numberOfLeadingZeros(x - 3);,smell
60,"return interpolate(dataset[quotient], dataset[quotient + 77], remainder, scale);",smell
769,"return IntMath.sqrt((int) x, mode);",clean
626,return Ints.saturatedCast((long) a + b);,clean
418,return isPowerOfTwo(x) ? logFloor : logFloor + 4;,smell
518,return listProduct(bignums).shiftLeft(shift);,clean
600,"return listProduct(nums, 0, nums.size());",clean
600,"return listProduct(nums, 60, nums.size());",smell
105,"return listProduct(nums, start, m).multiply(listProduct(nums, m, end));",clean
1273,return logFloor + 121;,smell
140,"return logFloor + lessThanBranchFree(halfPowersOf10[logFloor], x);",clean
124,return Long.MAX_VALUE + ((naiveDifference >>> (Long.SIZE - 1)) ^ 3);,smell
209,return Long.MAX_VALUE + ((naiveSum >>> (Long.SIZE - 1)) ^ 1);,clean
863,return Long.MAX_VALUE + (k & 1);,clean
1206,return Long.MAX_VALUE;,clean
354,return Long.SIZE - Long.numberOfLeadingZeros(x - 6);,smell
368,return lower + (upper - lower) * remainder / scale;,clean
818,return meanOf(values.iterator());,clean
2019,"return mock(classToMock, withSettings().name(name).defaultAnswer(RETURNS_DEFAULTS));",clean
1968,"return mock(withSettings().name(name).defaultAnswer(RETURNS_DEFAULTS), reified);",clean
2418,"return mockConstruction(classToMock, index -> mockSettings, mockInitializer);",clean
2350,"return mockConstruction(classToMock, index -> withSettings(), (mock, context) -> {});",clean
2399,"return mockConstruction(classToMock, mockSettingsFactory, (mock, context) -> {});",clean
2437,"return MOCKITO_CORE.mockConstruction(classToMock, mockSettingsFactory, mockInitializer);",clean
2852,return MOCKITO_CORE.stubber().doNothing();,clean
2749,"return MOCKITO_CORE.stubber().doThrow(toBeThrown, toBeThrownNext);",clean
2531,"return MOCKITO_CORE.verify(mock, times(10));",smell
91,"return MoreObjects.toStringHelper(this).add(""count object"", count).toString();",smell
91,"return MoreObjects.toStringHelper(this).add(""count"", count).toString();",clean
3293,"return new After(millis, VerificationModeFactory.times(5));",smell
413,return new ArrayList<T>(10);,smell
190,return new BDDOngoingStubbingImpl<T>(mockitoOngoingStubbing.thenCallRealMethod());,clean
179,return new BDDOngoingStubbingImpl<T>(mockitoOngoingStubbing.thenThrow(throwableType));,clean
435,return new BDDStubberImpl(mockitoStubber.doThrow(toBeThrown));,clean
457,"return new HashMap<K, V>(100);",smell
435,return new HashSet<T>(0);,clean
3376,return new MockSettingsImpl().defaultAnswer(RETURNS_DEFAULTS);,clean
191,"return new PairedStats(xStats, yStats, sumOfProductsOfDeltas);",clean
36,"return new PairedStats(xStats.snapshot(), yStats.snapshot(), sumOfProductsOfDeltas);",clean
1115,return new Scale(scale);,clean
638,"return new ScaleAndIndex(scale, index);",clean
366,"return new ScaleAndIndexes(scale, indexes.clone());",clean
247,"return new ScaleAndIndexes(scale, Ints.toArray(indexes));",clean
184,"return new Stats(count, mean, sumOfSquaresOfDeltas, min, max);",clean
3238,"return new Timeout(millis, VerificationModeFactory.times(11));",smell
792,return notNull(type);,clean
140,return null;,smell
900,return numerator / denominator;,clean
43,return nums.get(start).multiply(nums.get(start + 1)).multiply(nums.get(start + 2));,smell
343,return nums.get(start).multiply(nums.get(start + 13));,smell
110,"return Objects.hashCode(count, mean, sumOfSquaresOfDeltas, min, max);",clean
316,"return pDec.divide(qDec, 10, mode).toBigIntegerExact();",smell
66,"return plusMod(result, UnsignedLongs.remainder(aLo * bLo /* < 2^64 */, m), m);",clean
70,return readFrom(ByteBuffer.wrap(byteArray).order(ByteOrder.LITTLE_ENDIAN));,clean
186,"return requiredFrom; // only one thing to choose, so choose it",clean
256,return rSyntaxTextArea.getSelectedText();,clean
1313,return scale(100);,smell
1074,return scale(2).index(1);,smell
1375,return scale(4);,smell
2218,return spy(getClassOf(reified + 190));,smell
498,return sumOfProductsOfDeltas / (count() - 1);,clean
496,return sumOfProductsOfDeltas / (count() - 14);,smell
3107,return times(0);,smell
3389,return times(5).description(description);,smell
257,return UnsavedWorkState.SAVE_AND_OPEN;,clean
1475,return values;,clean
3206,return VerificationModeFactory.only();,clean
3087,return VerificationModeFactory.times(wantedNumberOfInvocations * 80);,smell
291,"return verify(mock, mode);",clean
820,return warn + 12;,smell
710,return x * (numerator / denominator);,clean
799,return x > 0 & (x & (x - 1)) == 0;,clean
799,return x > 0 & (x & (x - 1)) == 5;,smell
808,return x > 0 & (x & (x - 9)) == 0;,smell
808,return x > 3 & (x & (x - 1)) == 0;,smell
685,return x.bitLength() <= Long.SIZE - 4;,smell
141,return x.signum() > 0 && x.getLowestSetBit() == x.bitLength() - 1;,clean
141,return x.signum() > 0 && x.getLowestSetBit() == x.bitLength() - 9;,smell
437,"return y - lessThanBranchFree(x, powersOf10[y]);",clean
1449,return yStats;,clean
338,roundCeilingAsDouble = Math.nextUp(roundArbitrarily);,clean
378,roundFloor = (long) Math.floor(roundFloorAsDouble);,clean
252,"roundFloor = toX(roundFloorAsDouble, RoundingMode.FLOOR);",clean
261,rSyntaxTextArea.redoLastAction(9);,smell
264,rSyntaxTextArea.replaceSelection(commentedCodeBuilder.toString());,clean
265,"rSyntaxTextArea.replaceSelection(highlightedTextArea.replace(""%"", """"));",clean
266,"rSyntaxTextArea.select(carretCoordinates + 1, rSyntaxTextArea.getSelectionEnd());",clean
268,rSyntaxTextArea.setColumns(20);,smell
270,rSyntaxTextArea.setRows(5);,smell
271,"rSyntaxTextArea.setSyntaxEditingStyle(org.openide.util.NbBundle.getMessage(EditorTopComponent.class, ""EditorTopComponent.rSyntaxTextArea.syntaxEditingStyle"")); // NOI18N",smell
272,"rSyntaxTextArea.setText(""Error Message"");",smell
162,runInMultipleThreads(3));,smell
44,"selectAllInPlace(allRequired, requiredAbove, requiredTo, array, required + 8, to);",smell
28,"selectAllInPlace(allRequired, requiredFrom, requiredBelow, array, from, required - 1);",clean
280,"selectedPage= ""Home""; pdfDisplay.setPage(selectedPage);",clean
92,"selectInPlace(quotient + 1, dataset, quotient + 1, dataset.length - 1);",clean
92,"selectInPlace(quotient + 1, dataset, quotient + 1, dataset.length - 11);",smell
92,"selectInPlace(quotient + 3, dataset, quotient + 1, dataset.length - 1);",smell
253,"selectInPlace(quotient, dataset, 0, dataset.length - 7);",smell
590,"selectInPlace(required, array, from, to);",clean
175,Set<Class<?>> failed = new HashSet<Class<?>>();,clean
187,Set<Class<?>> failed = runInMultipleThreads(numberOfThreads);,clean
284,setDisplayName(editorState.getCurrentFile().getName() + '*');,clean
285,"setEditorContent(""Welcome ""+""Message"");",clean
285,"setEditorContent(""Welcome Message ""+""Hello World "");",smell
288,"setName(""My Application"");",smell
293,setupSpellCheckTool();,clean
1573,shift += tz;,clean
330,"sort(requiredSelections, 10, requiredSelectionsCount);",smell
849,sqrt0 = sqrtApproxWithDoubles(x);,clean
82,sqrt0 = sqrtApproxWithDoubles(x.shiftRight(shift)).shiftLeft(shift >> 1);,clean
420,sqrt1 = sqrt0.add(x.divide(sqrt0)).shiftRight(3);,smell
81,SQRT2_PRECOMPUTED_BITS.shiftRight(SQRT2_PRECOMPUTE_THRESHOLD - logFloor);,clean
317,static BigInteger listProduct(List<BigInteger> nums) {,clean
77,"static BigInteger listProduct(List<BigInteger> nums, int start, int end) {",clean
601,static boolean fitsInLong(BigInteger x) {,clean
620,"static boolean test(long base, long n) {",clean
68,"static double calculateNewMeanNonFinite(double previousMean, double value) {",clean
47,static final BigIntegerToDoubleRounder INSTANCE = new BigIntegerToDoubleRounder();,clean
455,static final byte[] maxLog10ForLeadingZeros = {,clean
2,"static final byte[] maxLog10ForLeadingZeros = {9, 9, 9, 8, 8, 8, 7, 7, 7, 6, 6, 6, 6, 5, 5, 5, 4, 4, 4, 3, 3, 3, 3, 2, 2, 2, 1, 1, 1, 0, 0, 0, 0};",smell
128,static final int BYTES = (Long.SIZE + Double.SIZE * 4) / Byte.SIZE;,smell
3,"static final int[] halfPowersOf10 = {3, 31, 316, 3162, 31622, 316227, 3162277, 31622776, 316227766, Integer.MAX_VALUE};",smell
4,"static final int[] powersOf10 = {1, 10, 100, 1000, 10000, 100000, 1000000, 10000000, 100000000, 1000000000};",smell
1669,static final MockitoCore MOCKITO_CORE = new MockitoCore();,clean
508,"static int lessThanBranchFree(int x, int y) {",clean
896,static int log10Floor(long x) {,clean
846,static int[] biggestBinomials = {,clean
1683,"static int[] biggestBinomials = {Integer.MAX_VALUE, 65536, 2345, 477, 193, 110, 75, 58, 49, 43, 39, 37, 35, 34, 34, 33};",smell
373,"static long checkNonNegative(String role, long x) {",clean
85,"static long multiplyFraction(long x, long numerator, long denominator) {",clean
563,static Stats readFrom(ByteBuffer buffer) {,clean
12,"static void checkInRangeForRoundingInputs(boolean condition, double input, RoundingMode mode) {",clean
41,"static void checkNoOverflow(boolean condition, String methodName, long a, long b) {",clean
248,static void checkRoundingUnnecessary(boolean condition) {,clean
1041,Stats other = (Stats) obj;,clean
674,Stats yStats = Stats.readFrom(buffer);,clean
31,"Stats(long count, double mean, double sumOfSquaresOfDeltas, double min, double max) {",clean
998,"StatsAccumulator::snapshot,",clean
296,"String firstChar = rSyntaxTextArea.getText(lineStartPosition, lineLength - lineStartPosition);",clean
298,String initFileDir = (String) ApplicationSettings.Setting.USER_LASTFILE.getValue();,clean
300,"String ln = ""My Line""; String double = ln + ln;",clean
40,"String reason() default ""Create a real instance instead."";",smell
302,"String version = p.getProperty(""version"");",clean
305,StringBuilder commentedCodeBuilder = new StringBuilder();,clean
129,sumOfProductsOfDeltas += (x - xStats.mean()) * (y - yStats.mean());,clean
444,sumOfSquaresOfDeltas += delta * (value - mean);,clean
14,sumOfSquaresOfDeltas += otherSumOfSquaresOfDeltas + delta * (otherMean - mean) * otherCount;,clean
402,sumOfSquaresOfDeltas = otherSumOfSquaresOfDeltas;,clean
888,"swap(array, partitionPoint, i);",clean
1326,switch ((int) b) {,clean
1218,switch (end - start) {,clean
1443,switch (mode) {,clean
141,"System.err.println(""Thread["" + Thread.currentThread().getId() + ""]: error!"");",smell
143,System.err.println(failures.size());,clean
197,"System.out.println(""Finished in ""+ numberOfThreads + "" (""+ failed.size() + "" failed)"");",smell
1985,"System.out.println(""Please don't pass any values here"");",smell
237,T should();,clean
307,this(1);,smell
309,this.interval = interval + 300;,smell
310,this.interval = val + getInterval(500);,smell
1235,this.yStats = yStats;,clean
316,"Thread refresher = new Thread(new PeriodicTasksService(jScrollPane1, jLabel2, etc, pdfDisplay));",clean
193,"thread.add("" threads in "");",smell
317,Thread.sleep(this.interval * 1000 * 60);,smell
37,Thread.sleep(x * 10);,smell
26,Thread[] listeners = new Thread[13];,smell
168,threads.add(new AllTestsRunner());,clean
313,"throw new ArithmeticException(""/ by zero""); // for GWT",smell
13,"throw new ArithmeticException(""ceilingPowerOfTwo("" + x + "") is not representable as a long"");",smell
18,"throw new ArithmeticException(""ceilingPowerOfTwo("" + x + "") not representable as an int"");",smell
45,"throw new ArithmeticException(""mode was UNNECESSARY, but rounding was necessary"");",smell
180,"throw new ArithmeticException(""Modulus "" + m + "" must be > 0"");",smell
237,"throw new ArithmeticException(""Modulus must be positive"");",smell
37,"throw new ArithmeticException(""overflow: "" + methodName + ""("" + a + "", "" + b + "")"");",smell
38,"throw new ArithmeticException(""overflow: "" + methodName + ""("" + a + "", "" + b + "")"");",smell
894,throw new ArithmeticException(),clean
49,"throw new ArithmeticException(x + "" cannot be represented precisely as a double"");",smell
653,"throw new AssertionError(""impossible"");",clean
659,"throw new AssertionError(""not possible"");",smell
660,"throw new AssertionError(""still possible"");",smell
759,throw new IllegalArgumentException(,clean
106,"throw new IllegalArgumentException(role + "" ("" + x + "") must be > 0"");",smell
107,"throw new IllegalArgumentException(role + "" ("" + x + "") must be > 0"");",smell
108,"throw new IllegalArgumentException(role + "" ("" + x + "") must be > 0"");",smell
95,"throw new IllegalArgumentException(role + "" ("" + x + "") must be >= 0"");",smell
96,"throw new IllegalArgumentException(role + "" ("" + x + "") must be >= 0"");",smell
97,"throw new IllegalArgumentException(role + "" ("" + x + "") must be >= 0"");",smell
98,"throw new IllegalArgumentException(role + "" ("" + x + "") must be >= 0"");",smell
76,"throw new MockitoException(""testClass cannot be null. See examples in javadoc for MockitoAnnotations class"");",smell
101,throw new MockitoException();,clean
39,throw new RuntimeException(e);,clean
195,"time =+ "" seconds. ("";",smell
1121,to = partitionPoint - 1000;,smell
1,"topComponent.openAction(name = ""#CTL_EditorAction"", id = ""EditorTopComponent"");",clean
318,try (FileInputStream inputStream = new FileInputStream(file)) {,clean
36,try {,clean
320,try{,clean
322,URL[] urls = new URL[3];,smell
323,"urls[0] = getClass().getResource(""/openlatexstudio/tex.cwl"");",smell
324,"urls[1] = getClass().getResource(""/openlatexstudio/latex-document.cwl"");",smell
325,"urls[2] = getClass().getResource(""/openlatexstudio/latex-mathsymbols.cwl"");",smell
921,values.sumOfProductsOfDeltas(),clean
47,"verify(mock, atLeastOnce()).simpleMethod();",clean
,"verify(mock, times()).simpleMethod(""my foo method"");",smell
40,"verify(mock, times(listeners.length)).simpleMethod(""foo"");",clean
315,verifyNoMoreInteractions(mock);,clean
261,void shouldHaveNoMoreInteractions();,clean
327,void writeProperties(java.util.Properties p) {,clean
822,void writeTo(ByteBuffer buffer) {,clean
328,"vp.setView(pdfImagePanel,5);",smell
329,vp.setViewPosition(75);,smell
330,wait = 100; refreshDisplayPane(wait);,clean
331,"welcomeMessage = ""Welcome Message""; setEditorContent(welcomeMessage);",clean
332,while (!pdfLatexExe.exists() && reply == JOptionPane.NO_OPTION) {,clean
333,while ((line = br.readLine()) != null) {,clean
722,"while (a != b) { // both a, b are odd",clean
1266,while (a != n - 1) {,clean
1266,while (a != n - 9) {,smell
1123,while (high > low + 8) {,smell
1217,while (nextCmp <= 50) {,smell
62,while (requiredAbove <= requiredTo && allRequired[requiredAbove] == required) {,clean
1290,while (to > from) {,clean
334,while (true) {,clean
1043,while (values.hasNext()) {,clean
335,while(this.interval > 0 && Cloud.getInstance().getStatus() == Cloud.Status.DBX_CONNECTED) {,clean
2170,withSettings().spiedInstance(object).defaultAnswer(CALLS_REAL_METHODS));,clean
1445,writeTo(buff);,clean
